Id,ProductTypeName,IsActive,CreatedBy,CreatedDate
374,FOAM,0,odc-opf@ord.gov.in,10:38.6
378,Connectors,0,pramithch@bel.co.in,14:05.2
382,PARACHUTE METAL COMPONENTS,0,odc-opf@ord.gov.in,15:33.0
386,FABRICATION,0,odc-opf@ord.gov.in,18:13.6
388,RUBBER,0,odc-opf@ord.gov.in,22:19.4
391,TAPES AND CORDAGES,0,odc-opf@ord.gov.in,25:00.3
394,PARACHUTE METAL COMPONENTS,0,odc-opf@ord.gov.in,27:07.6
399,RUBBER PRODUCTS,0,odc-opf@ord.gov.in,30:08.5
411,packing,0,mcbairwa@ord.gov.in,36:17.7
412,BRASS/NON FERROUS ROD-EXTRUDED/NAVAL/HIGH TENSILE/COMMERCIAL,0,M.Mahendran@grse.co.in,36:18.5
415,ELECTRONICS,0,odc-opf@ord.gov.in,38:53.1
419,NON FERROUS FLATS & SECTIONS,0,M.Mahendran@grse.co.in,39:15.9
426,EXPANSION BELLOW,0,M.Mahendran@grse.co.in,41:33.2
429,FILTERS/STRAINERS,0,M.Mahendran@grse.co.in,43:15.2
432,THREADS,0,odc-opf@ord.gov.in,44:49.8
435,PARACHUTE METAL COMPONENTS,0,odc-opf@ord.gov.in,47:13.4
437,"PROPELLER SHAFT,STEERING GEAR",0,M.Mahendran@grse.co.in,48:18.2
441,AIR CONDITIONING / VENTILATION,0,M.Mahendran@grse.co.in,50:02.3
445,PIPE FITTINGS,0,M.Mahendran@grse.co.in,51:49.8
448,PIPES & TUBES ( STAINLESS STEEL),0,M.Mahendran@grse.co.in,54:02.3
453,PIPES & TUBES ( STAINLESS STEEL),0,M.Mahendran@grse.co.in,56:36.2
455,PLASTIC SLIDE FASTNER,0,odc-opf@ord.gov.in,57:25.7
457,PIPES & TUBES ( STAINLESS STEEL),0,M.Mahendran@grse.co.in,58:31.3
459,TOLUOLE,0,odc-opf@ord.gov.in,59:34.9
461,CHAIN & SPROCKET,0,M.Mahendran@grse.co.in,00:36.2
463,ADHESIVE,0,odc-opf@ord.gov.in,01:36.2
467,VALVES (COMMERCIAL) / COCKS (COMMERCIAL),0,M.Mahendran@grse.co.in,03:29.3
469,ADHESIVE,0,odc-opf@ord.gov.in,04:02.3
473,ELECTRONIC MEASURING & SPECIAL INSTRUMENTS,0,M.Mahendran@grse.co.in,06:23.2
478,BOLTS & NUTS,0,M.Mahendran@grse.co.in,09:18.7
481,HOSES / HOSE FITTINGS,0,M.Mahendran@grse.co.in,11:27.2
486,WOOD,0,M.Mahendran@grse.co.in,14:19.6
489,Outsourcing,0,diptimoy.mohanty@midhani-india.in,19:31.9
490,Outsourcing,0,diptimoy.mohanty@midhani-india.in,20:47.1
491,CORRUGATED BOXES,0,odc-opf@ord.gov.in,21:00.0
493,MACHINE TOOLS,0,M.Mahendran@grse.co.in,22:39.4
495,Outsourcing,0,diptimoy.mohanty@midhani-india.in,24:07.9
497,MACHINE TOOLS,0,M.Mahendran@grse.co.in,24:32.9
498,PARACHUTE COMPONENTS,0,odc-opf@ord.gov.in,24:46.3
500,MACHINE TOOLS,0,M.Mahendran@grse.co.in,27:08.3
502,COMPUTER & ACCESSORIES,0,M.Mahendran@grse.co.in,30:08.1
503,COMPUTER & ACCESSORIES,0,M.Mahendran@grse.co.in,31:51.8
504,Outsourcing,0,diptimoy.mohanty@midhani-india.in,31:52.7
507,COMPUTER SOFTWARE,0,M.Mahendran@grse.co.in,34:04.7
509,Outsourcing,0,diptimoy.mohanty@midhani-india.in,34:41.9
510,Outsourcing,0,diptimoy.mohanty@midhani-india.in,35:33.9
511,THREADS,0,odc-opf@ord.gov.in,36:24.7
512,COMPUTER SOFTWARE,0,M.Mahendran@grse.co.in,36:57.2
513,Outsourcing,0,diptimoy.mohanty@midhani-india.in,37:11.2
516,DIGITIZATION OF VARIOUS DRAWINGS,0,M.Mahendran@grse.co.in,39:00.9
517,Outsourcing,0,diptimoy.mohanty@midhani-india.in,39:21.7
518,TAPES AND CORDAGES,0,odc-opf@ord.gov.in,39:44.0
519,DIGITIZATION OF VARIOUS DRAWINGS,0,M.Mahendran@grse.co.in,40:52.7
520,TAPES AND CORDAGES,0,odc-opf@ord.gov.in,41:13.2
521,TAPES AND CORDAGES,0,odc-opf@ord.gov.in,41:13.4
522,Outsourcing,0,diptimoy.mohanty@midhani-india.in,41:14.5
524,CRUSHER / SCREEN,0,M.Mahendran@grse.co.in,42:47.9
525,RUBBER PRODUCTS,0,odc-opf@ord.gov.in,42:53.4
527,"LABORATORY EQUIPMENTS,NDT EQUIPMENTS",0,M.Mahendran@grse.co.in,44:42.9
528,Outsourcing,0,diptimoy.mohanty@midhani-india.in,44:48.5
529,RUBBER PRODUCTS,0,odc-opf@ord.gov.in,45:22.4
530,RUBBER PRODUCTS,0,odc-opf@ord.gov.in,45:22.6
531,Outsourcing,0,diptimoy.mohanty@midhani-india.in,46:21.8
532,TAPES AND CORDAGES,0,odc-opf@ord.gov.in,46:27.6
533,TAPES AND CORDAGES,0,odc-opf@ord.gov.in,46:27.8
534,CHEMICALS & X RAY FILMS,0,M.Mahendran@grse.co.in,46:56.0
535,Outsourcing,0,diptimoy.mohanty@midhani-india.in,47:22.9
537,Outsourcing,0,diptimoy.mohanty@midhani-india.in,48:26.9
538,CHEMICALS & X RAY FILMS,0,M.Mahendran@grse.co.in,49:05.6
539,Outsourcing,0,diptimoy.mohanty@midhani-india.in,50:18.3
540,NDT CHEMICALS,0,M.Mahendran@grse.co.in,50:49.7
541,DIESEL GENERATING SET,0,M.Mahendran@grse.co.in,52:51.8
543,DIESEL GENERATING SET,0,M.Mahendran@grse.co.in,54:17.8
544,Outsourcing,0,diptimoy.mohanty@midhani-india.in,55:33.0
546,DIESEL GENERATING SET,0,M.Mahendran@grse.co.in,56:26.1
547,DIESEL GENERATING SET,0,M.Mahendran@grse.co.in,58:45.9
549,Outsourcing,0,diptimoy.mohanty@midhani-india.in,59:53.9
550,DIESEL GENERATING SET,0,M.Mahendran@grse.co.in,00:53.7
555,ELECTRIC HOIST BLOCK,0,M.Mahendran@grse.co.in,06:58.6
559,PARACHUTE METAL COMPONENTS,0,odc-opf@ord.gov.in,16:12.2
560,PARACHUTE METAL COMPONENTS,0,odc-opf@ord.gov.in,22:16.0
561,Sewing Threads,0,odc-opf@ord.gov.in,24:33.0
562,Parachute fabrics,0,odc-opf@ord.gov.in,27:25.4
563,TAPES AND CORDAGES,0,odc-opf@ord.gov.in,30:08.9
564,PARACHUTE METAL COMPONENTS,0,odc-opf@ord.gov.in,31:38.5
565,TAPES AND CORDAGES,0,odc-opf@ord.gov.in,32:39.3
566,PARACHUTE METAL COMPONENTS,0,odc-opf@ord.gov.in,39:04.2
567,ADHESIVE,0,odc-opf@ord.gov.in,41:25.9
568,NYLON FABRICS,0,odc-opf@ord.gov.in,42:46.8
569,TAPES AND CORDAGES,0,odc-opf@ord.gov.in,44:07.5
570,Inflatable Rubberised Products,0,odc-opf@ord.gov.in,46:03.7
571,"ELECTRIC FANS,REGULATOR",0,M.Mahendran@grse.co.in,00:34.8
572,"ELECTRIC FANS,REGULATOR",0,M.Mahendran@grse.co.in,02:36.0
573,ELECTRIC AIR CONDITIONER,0,M.Mahendran@grse.co.in,09:05.7
574,ELECTRIC AIR CONDITIONER,0,M.Mahendran@grse.co.in,10:50.0
576,ELECTRIC BATTERY CHARGER,0,M.Mahendran@grse.co.in,12:58.1
578,ELECTRIC BATTERY CHARGER,0,M.Mahendran@grse.co.in,16:07.2
579,ELECTRIC BATTERY CHARGER,0,M.Mahendran@grse.co.in,17:40.9
581,ELECTRIC BLOWER,0,M.Mahendran@grse.co.in,21:24.7
583,"CABLE HANGER, CABLE TRAYS",0,M.Mahendran@grse.co.in,23:20.5
584,ELECTRIC CABLE/WIRE (COMMERCIAL),0,M.Mahendran@grse.co.in,26:52.7
586,ELECTRIC CABLE/WIRE (COMMERCIAL),0,M.Mahendran@grse.co.in,28:38.4
588,ELECTRIC CABLE / WIRE (COMMERCIAL),0,M.Mahendran@grse.co.in,30:21.3
590,CNC  & Conventional  Machining,0,dirtc.dgaqa@gov.in,34:22.0
592,ELECTRIC CABLE / WIRE (COMMERCIAL),0,M.Mahendran@grse.co.in,36:06.9
595,Ground Support Equipments,0,dirtc.dgaqa@gov.in,41:10.5
597,CABLE / WIRE,0,M.Mahendran@grse.co.in,46:17.0
599,CABLE / WIRE,0,M.Mahendran@grse.co.in,48:29.0
601,CABLE / WIRE,0,M.Mahendran@grse.co.in,51:31.7
603,CABLE / WIRE,0,M.Mahendran@grse.co.in,53:09.1
606,CABLE / WIRE,0,M.Mahendran@grse.co.in,54:58.1
609,CABLE / WIRE,0,M.Mahendran@grse.co.in,58:04.7
614,MAIN SWITCH BOARDS,0,M.Mahendran@grse.co.in,02:02.3
616,MAIN SWITCH BOARDS,0,M.Mahendran@grse.co.in,03:31.6
619,MAIN SWITCH BOARDS,0,M.Mahendran@grse.co.in,05:05.1
622,ELECTRIC MOTORS,0,M.Mahendran@grse.co.in,06:48.1
626,EMERGENCY LIGHT / INVERTER / UPS,0,M.Mahendran@grse.co.in,10:35.1
629,EMERGENCY LIGHT / INVERTER / UPS,0,M.Mahendran@grse.co.in,13:27.6
636,GYSER / HEATING ELEMENT,0,M.Mahendran@grse.co.in,19:18.0
641,HEAT EXCHANGER,0,M.Mahendran@grse.co.in,22:06.5
643,Outsourcing,0,diptimoy.mohanty@midhani-india.in,22:37.7
714,HEAT EXCHANGER,0,M.Mahendran@grse.co.in,52:02.8
717,HEAT EXCHANGER,0,M.Mahendran@grse.co.in,53:39.8
722,"MUSICAL SYSTEMS(TAPE RECORDER,TV, VCR)",0,M.Mahendran@grse.co.in,55:47.8
729,RECTIFIER / TRANSFORMERS,0,M.Mahendran@grse.co.in,58:03.9
740,RECTIFIER / TRANSFORMERS,0,M.Mahendran@grse.co.in,02:07.1
753,UNIT LOAD FOR EXPLOSIVE PACKAGING,0,cfa@ord.gov.in,07:48.1
757,ELECTRIC MEASURING & SPECIAL INSTRUMENT,0,M.Mahendran@grse.co.in,08:13.8
760,ELECTRIC MEASURING & SPECIAL INSTRUMENT,0,M.Mahendran@grse.co.in,09:41.7
763,Paints,0,sg1dqan-dgqa@nic.in,10:30.6
771,BREATHING APPARATUS,0,M.Mahendran@grse.co.in,13:33.2
784,BREATHING APPARATUS,0,M.Mahendran@grse.co.in,19:24.5
788,BREATHING APPARATUS,0,M.Mahendran@grse.co.in,21:44.2
792,FIRE HOSE / NOZZLES,0,M.Mahendran@grse.co.in,23:36.0
797,FIRE EXTINGUISHER,0,M.Mahendran@grse.co.in,25:46.4
799,Binocular,0,sg1dqan-dgqa@nic.in,27:59.2
801,FIRE FIGHTING PUMP,0,M.Mahendran@grse.co.in,28:45.7
806,FIRE FIGHTING PUMP,0,M.Mahendran@grse.co.in,33:07.5
815,FIRE FIGHTING PUMP,0,M.Mahendran@grse.co.in,37:56.0
825,FIRE FIGHTING PUMP,0,M.Mahendran@grse.co.in,45:32.9
831,FIRE EXTINGUISHER,0,M.Mahendran@grse.co.in,56:01.6
833,FIRE DETECTION SYSTEM,0,M.Mahendran@grse.co.in,57:41.8
848,FIRE EXTINGUISHER CHEMICALS & COMPOUNDS,0,M.Mahendran@grse.co.in,00:46.5
849,FIRE EXTINGUISHER CHEMICALS & COMPOUNDS,0,M.Mahendran@grse.co.in,03:20.6
859,"CASTING - CI,SGI,MALLEABLE,GREY IRON",0,M.Mahendran@grse.co.in,39:08.7
863,"CASTING - CI,SGI,MALLEABLE,GREY IRON",0,M.Mahendran@grse.co.in,45:53.9
875,DIFFERENT FORGED ITEMS ( LIGHT & MEDIUM FORGING),0,M.Mahendran@grse.co.in,04:52.1
877,DIFFERENT FORGED ITEMS ( LIGHT & MEDIUM FORGING),0,M.Mahendran@grse.co.in,07:58.9
879,DIFFERENT FORGED ITEMS ( LIGHT & MEDIUM FORGING),0,M.Mahendran@grse.co.in,10:08.3
883,DIFFERENT FORGED ITEMS ( LIGHT & MEDIUM FORGING),0,M.Mahendran@grse.co.in,13:50.4
888,DIFFERENT FORGED ITEMS ( HEAVY FORGING),0,M.Mahendran@grse.co.in,17:48.7
920,MOBILE CRANES,0,M.Mahendran@grse.co.in,26:20.1
921,MOBILE CRANES,0,M.Mahendran@grse.co.in,33:39.2
923,TROLLEY-HAND/PLATFORM/WHEEL BARROW,0,M.Mahendran@grse.co.in,35:25.7
925,FORKLIFT,0,M.Mahendran@grse.co.in,42:04.3
927,ACETYLENE,0,M.Mahendran@grse.co.in,55:11.3
928,ACETYLENE,0,M.Mahendran@grse.co.in,56:48.8
932,ELEC. CABLING & FITTING WORK ON SHIP,0,M.Mahendran@grse.co.in,05:48.7
933,ELECTRO PLATING / ENAMELLING,0,M.Mahendran@grse.co.in,07:56.7
934,FABRICATION OF CONTROL PANEL,0,M.Mahendran@grse.co.in,11:01.0
935,FABRICATION ERECTION (SITE),0,M.Mahendran@grse.co.in,12:27.9
936,FABRICATION ERECTION (SITE),0,M.Mahendran@grse.co.in,15:30.4
937,GALVANIZING,0,M.Mahendran@grse.co.in,16:50.0
944,Rubber Sheet,0,hsyadav1@ord.gov.in,03:25.6
946,TAPES AND CORDAGES,0,odc-opf@ord.gov.in,11:55.4
1030,Extinguishers,0,vendorcell@goashipyard.com,18:08.4
1034,Cables,0,vendorcell@goashipyard.com,30:58.1
1037,EVAPORATIVE AIR COOLER,0,pawanjeetsingh@ord.gov.in,36:45.5
1056,NON DESTRUCTIVE TESTING,0,M.Mahendran@grse.co.in,07:55.2
1060,NON DESTRUCTIVE TESTING,0,M.Mahendran@grse.co.in,10:20.8
1062,HIRING OF D.G.SETS,0,M.Mahendran@grse.co.in,11:50.9
1085,Fuel,0,lochankarekar@goashipyard.com,29:00.5
1086,SHIP REPAIR (HULL PREPARATION ETC.),0,M.Mahendran@grse.co.in,29:12.9
1092,medical chemical,0,lochankarekar@goashipyard.com,31:00.8
1097,Chemical,0,lochankarekar@goashipyard.com,33:24.8
1110,GEARS,0,M.Mahendran@grse.co.in,40:02.9
1139,ANODE / ICCP / AFAC / MGPS,0,M.Mahendran@grse.co.in,54:32.9
1142,ANODE / ICCP / AFAC / MGPS,0,M.Mahendran@grse.co.in,55:49.0
1144,Vehicle,0,lochankarekar@goashipyard.com,57:47.7
1189,BRASS/NON FERROUS ROD-EXTRUDED/NAVAL/HIGH TENSILE/COMMERCIAL,0,M.Mahendran@grse.co.in,21:15.3
1193,BRASS/NON FERROUS ROD-EXTRUDED/NAVAL/HIGH TENSILE/COMMERCIAL,0,M.Mahendran@grse.co.in,22:57.3
1217,NIL,0,cqametichapur-dgqa@nic.in,09:07.8
1223,NIL,0,cqametichapur-dgqa@nic.in,19:24.0
1224,NIL,0,cqametichapur-dgqa@nic.in,20:49.9
1225,NIL,0,cqametichapur-dgqa@nic.in,22:11.9
1310,"BOATS, BARGES",0,Chowdhury.Santanu@grse.co.in,58:13.7
1331,ELECTRIC MOTORS (NAVAL),0,Das.ArupKr@grse.co.in,02:18.7
1332,AIRCONDITIONING / VENTILATION,0,Das.ArupKr@grse.co.in,04:51.4
1334,SAND/GRIT/QUARTZ BLASTING,0,Das.ArupKr@grse.co.in,12:51.5
1336,GREASE LUBRICATION EQUIPMENT / FITTINGS,0,Das.ArupKr@grse.co.in,19:19.3
1338,ORDER SUPPLIER,0,Das.ArupKr@grse.co.in,21:18.7
1339,VALVES (COMMERCIAL) / COCKS (COMMERCIAL),0,Das.ArupKr@grse.co.in,23:34.3
1340,"CABLE HANGER, CABLE TRAYS (MANUFACTURING VENDOR ONLY)",0,Das.ArupKr@grse.co.in,25:23.1
1342,Petroleum Product,0,umakant.prajapati@gov.in,25:58.3
1343,Petroleum Product,0,umakant.prajapati@gov.in,27:36.8
1346,FIRE RESISTANCE COATINGS,0,Das.ArupKr@grse.co.in,31:01.8
1349,MODULAR ACCOMODATION,0,Das.ArupKr@grse.co.in,35:57.2
1350,Petroleum Product,0,umakant.prajapati@gov.in,36:24.8
1351,CABLE / WIRE (NAVAL PATTERNISED),0,Das.ArupKr@grse.co.in,37:37.7
1353,ELECTRIC / ELECTRONIC CONTROL  &   POWER PANEL,0,Das.ArupKr@grse.co.in,39:19.8
1357,PLUMBING WORK ON BOARD SHIP,0,Das.ArupKr@grse.co.in,43:14.6
1358,Petroleum Product,0,umakant.prajapati@gov.in,43:21.7
1361,PIPE FITTINGS,0,Das.ArupKr@grse.co.in,46:01.6
1364,MS RODS / ANGLES / CHANNEL / JOIST / BEAM SECTION,0,Chowdhury.Santanu@grse.co.in,47:23.4
1365,ELECTRIC CABLE/WIRE (COMMERCIAL),0,Das.ArupKr@grse.co.in,47:30.5
1366,ORDER SUPPLIER,0,Das.ArupKr@grse.co.in,50:03.6
1372,Petroleum Product,0,umakant.prajapati@gov.in,52:06.2
1376,Petroleum Product,0,umakant.prajapati@gov.in,53:23.4
1377,CAPSTAN,0,Das.ArupKr@grse.co.in,53:51.7
1379,Petroleum Product,0,umakant.prajapati@gov.in,54:48.6
1382,COMPUTER & ACCESSORIES,0,Das.ArupKr@grse.co.in,55:48.8
1384,Petroleum Product,0,umakant.prajapati@gov.in,56:00.2
1390,Petroleum Product,0,umakant.prajapati@gov.in,57:34.6
1393,ROPE - WIRE,0,Das.ArupKr@grse.co.in,58:34.6
1395,Petroleum Product,0,umakant.prajapati@gov.in,59:02.9
1401,FABRICATION JOB,0,Das.ArupKr@grse.co.in,00:26.3
1402,FILTERS/STRAINERS,0,Das.ArupKr@grse.co.in,01:27.7
1405,ELECTRIC CABLE/WIRE (COMMERCIAL),0,Das.ArupKr@grse.co.in,04:32.7
1407,Petroleum Product,0,umakant.prajapati@gov.in,05:26.6
1409,Petroleum Product,0,umakant.prajapati@gov.in,07:20.7
1410,Petroleum Product,0,umakant.prajapati@gov.in,08:19.1
1412,"CASTING STEEL,STAINLESS STEEL,ALLOY STEEL",0,Das.ArupKr@grse.co.in,08:47.4
1413,Petroleum Product,0,umakant.prajapati@gov.in,09:10.4
1415,ONBOARD SMALL FABRICATION JOB,0,Chowdhury.Santanu@grse.co.in,09:49.1
1416,GALVANIZING,0,Das.ArupKr@grse.co.in,10:08.5
1418,Petroleum Product,0,umakant.prajapati@gov.in,10:53.3
1419,"ABRASIVE CUTTER, GRINDING WHEEL",0,Das.ArupKr@grse.co.in,11:22.7
1421,Petroleum Product,0,umakant.prajapati@gov.in,11:54.6
1424,Petroleum Product,0,umakant.prajapati@gov.in,12:54.7
1426,MAIN SWITCH BOARDS,0,Das.ArupKr@grse.co.in,13:14.2
1428,Petroleum Product,0,umakant.prajapati@gov.in,14:35.0
1430,Petroleum Product,0,umakant.prajapati@gov.in,15:40.6
1432,ELECTRIC BATTERY CHARGER,0,Das.ArupKr@grse.co.in,15:48.6
1434,Petroleum Product,0,umakant.prajapati@gov.in,16:43.1
1435,LIGHT FITTINGS,0,Chowdhury.Santanu@grse.co.in,17:25.4
1436,ADHESIVE USED FOR ASSY. SULUTION,0,Das.ArupKr@grse.co.in,17:53.9
1440,Petroleum Product,0,umakant.prajapati@gov.in,19:10.7
1441,Maintenance of Telephone Exchange EPABX,0,vbwakchaure@mazdock.com,19:12.1
1442,PAINT STOVE ENAMEL/SYNTHETIC ENAMEL,0,Das.ArupKr@grse.co.in,20:14.2
1444,Petroleum Product,0,umakant.prajapati@gov.in,20:34.8
1446,Petroleum Product,0,umakant.prajapati@gov.in,21:29.6
1448,Petroleum Product,0,umakant.prajapati@gov.in,22:36.4
1449,MS RODS ANGLES CHANNEL JOIST BEAM SECTION TQ.STEEL,0,Das.ArupKr@grse.co.in,22:41.3
1452,Petroleum Product,0,umakant.prajapati@gov.in,24:08.6
1453,FORGING,0,Das.ArupKr@grse.co.in,24:11.7
1455,"BLASTING, SURFACE PREPARATION AND APPLICATION OF PAINTS ON P15B / P17A",0,vbwakchaure@mazdock.com,25:23.1
1456,RESILIENT & SHOCK MOUNTINGS,0,Chowdhury.Santanu@grse.co.in,25:24.5
1457,Petroleum Product,0,umakant.prajapati@gov.in,25:47.9
1460,SHIP REPAIR (ELECTRONIC/NAVIGATIONAL AIDS/PROPRIETORY ITEMS),0,Das.ArupKr@grse.co.in,26:51.4
1465,VIBRATION MEASUREMENT/SOUND LEVEL MONITORING,0,Das.ArupKr@grse.co.in,28:24.6
1470,"CASTING STEEL,STAINLESS STEEL,ALLOY STEEL",0,Chowdhury.Santanu@grse.co.in,31:04.1
1472,JACK (HYDRAULIC/MECHANICAL),0,Das.ArupKr@grse.co.in,31:35.5
1473,Laser Alignment Services for Propulsion Shafting System for P17A class ships,0,vbwakchaure@mazdock.com,31:55.1
1476,"blasting, surface preparation and application of paints on P15B /P17A",0,vbwakchaure@mazdock.com,33:07.0
1477,RUBBER-STRIPS/LIPS/GASKET,0,Das.ArupKr@grse.co.in,33:25.0
1480,COMPRESSOR,0,Das.ArupKr@grse.co.in,35:25.5
1481,Blasting with Shot/Grit & Priming by one coat of epoxy primer on steel plates,0,vbwakchaure@mazdock.com,35:29.9
1482,RUBBER-STRIPS/LIPS/GASKET,0,Das.ArupKr@grse.co.in,36:45.3
1483,SHIP REPAIR (ELECTRICAL WORK),0,Chowdhury.Santanu@grse.co.in,37:07.6
1485,ON-BOARD WORK (MISCELLANEOUS).,0,Das.ArupKr@grse.co.in,38:47.1
1486,Repair/Refurbishment of Techometer - GTG (P15B),0,vbwakchaure@mazdock.com,39:02.8
1488,Tank Cleaning by Mechanical Means & Oiling of Tanks on Y–12707 of P-15B,0,vbwakchaure@mazdock.com,39:54.1
1491,Repair/Refurbishment of A2 Card (01Nos)-P15B GTG,0,vbwakchaure@mazdock.com,41:10.5
1492,PAINT STOVE ENAMEL/SYNTHETIC ENAMEL,0,Das.ArupKr@grse.co.in,41:47.1
1500,RUBBER-STRIPS/LIPS/GASKET,0,Das.ArupKr@grse.co.in,43:57.6
1507,COMPUTER & ACCESSORIES,0,Das.ArupKr@grse.co.in,46:14.7
1509,VALVES / COCKS,0,Das.ArupKr@grse.co.in,47:54.7
1512,REPAIR & SERVICING OF DG SET.,0,Das.ArupKr@grse.co.in,49:36.6
1515,DIESEL GENERATING SET,0,Das.ArupKr@grse.co.in,51:19.4
1518,PLUMBING WORK ON BOARD SHIP,0,Das.ArupKr@grse.co.in,52:32.7
1524,SHIP REPAIR (ELECTRICAL WORK),0,Das.ArupKr@grse.co.in,53:54.0
1527,ELECTRODES,0,Das.ArupKr@grse.co.in,55:23.7
1536,ACOUSTIC MARINE EXHAUST SYSTEM,0,Das.ArupKr@grse.co.in,57:47.2
1540,INSTALLATION OF ELECTRONICS/ELECTRICAL SYSTEMS,0,Das.ArupKr@grse.co.in,00:26.5
1545,CYLINDER - HYDRAULIC / PNEUMATIC,0,Das.ArupKr@grse.co.in,01:20.1
1553,"CASTING STEEL,STAINLESS STEEL,ALLOY STEEL",0,Das.ArupKr@grse.co.in,04:37.9
1554,PIPES & TUBES,0,Das.ArupKr@grse.co.in,09:09.8
1556,NAVIGATION EXTERNAL & INTERNAL COMMUNICATION EUIP,0,Das.ArupKr@grse.co.in,11:32.6
