Id,IndustrySubDomainName,CreatedDate,CreatedBy,IsActive
41,"Repair, Restoration and Cladding",14:52.8,NULL,1
42,Repair,14:52.8,NULL,1
43,WEAPONS,14:52.8,NULL,1
44,AMMUNITIONS,14:52.8,NULL,1
45,HARDWARE,14:52.8,NULL,1
46,COMBAT VEHICLES,14:52.8,NULL,1
47,ARV,14:52.8,NULL,1
48,Warships Destroyers,14:52.8,NULL,1
49,Frigates,14:52.8,NULL,1
50,Corvettes,14:52.8,NULL,1
51,Boat,14:52.8,NULL,1
52,Vessels,14:52.8,NULL,1
53,Casting,14:52.8,NULL,1
54,Machining,14:52.8,NULL,1
55,Fabrication,14:52.8,NULL,1
56,Electrical,14:52.8,NULL,1
57,Batteries,14:52.8,NULL,1
58,Chemical,14:52.8,NULL,1
59,Advanced Electronic Devices,33:49.4,NULL,1
60,Armoured Platforms & Combat Vehicles,35:16.1,NULL,1
61,Artificial Intelligence & Machine Learning (AI/ML),41:29.4,NULL,1
62,Autonomous & Robotic Systems,42:17.8,NULL,1
63,Counter-Drone & Anti-UAV Technologies,22:29.7,NULL,1
64,"Cyber, Information & Communication Technologies",22:31.9,NULL,1
65,Defensive Gear & Protective Systems,22:40.3,NULL,1
66,"Energy, Power & Electrical Systems",22:46.9,NULL,1
67,Fire Safety & Hazard Management Systems,22:54.0,NULL,1
68,Hardware-In-the-Loop (HIL) Simulation,23:01.2,NULL,1
69,"Logistics, Maintenance & Support Technologies",23:08.8,NULL,1
70,Marine & Naval Systems,23:16.1,NULL,1
71,Material Engineering & Advanced Manufacturing,23:24.5,NULL,1
72,"Missiles, Munitions & Smart Weapons",23:31.2,NULL,1
73,Propulsion & Engine Technologies,23:39.3,NULL,1
74,Quantum Computing & Quantum Technologies,23:46.3,NULL,1
75,Space Systems & Technologies,23:53.9,NULL,1
76,"Surveillance, Navigation & Detection Systems",24:02.2,NULL,1
77,"Unmanned Aerial, Ground & Underwater Systems",24:11.2,NULL,1
84,Lime,35:12.1,1,1
85,Fabric,44:27.5,1,1
105,FUZE FOR BARMINE,42:03.8,mmofbol@ord.gov.in,1
106,FUZE WITH COMPONENTS FOR BARMINE,43:08.0,mmofbol@ord.gov.in,1
110,TEXTILES,10:03.9,ofipv@ord.gov.in,1
112,Forgings,21:29.6,amitkumarsarraf@ord.gov.in,1
124,CERTIFICATION OF STANDARD AS 9100D,19:18.7,hemantpakhale@ord.gov.in,1
125,RUBBER COMPONENTS,50:50.3,hod-imm-co@hal-india.co.in,1
130,PLYWOOD PRODUCTS,10:01.7,ofipv@ord.gov.in,1
132,CORRUGATED FIBER BOARD BOXES,39:48.7,ofipv@ord.gov.in,1
181,Steel Manufacturing,26:21.4,ramkeshmeena@ord.gov.in,1
193,Bearings,48:24.2,himanshuverma@ord.gov.in,1
198,SHOCK ABSORBERS AND VEHICLE SPARE PARTS,59:29.3,himanshuverma@ord.gov.in,1
199,DIFFERENT TYPES OF GAUGES FOR WEAPON AND AMMUNITION HARDWARE,01:24.5,amitkumar6@ord.gov.in,1
204,MAINTENANCE EQUIPMENTS AND WOODEN ITEMS,24:22.9,himanshuverma@ord.gov.in,1
205,"RUBBER COMPONENTS, Vehicle Tyre & Tubes",26:42.8,himanshuverma@ord.gov.in,1
208,SUSPENSION SYSTEM,32:55.2,himanshuverma@ord.gov.in,1
210,RAW MATERIALS,42:22.0,himanshuverma@ord.gov.in,1
212,Bearings & Lubricants supplies,57:15.6,himanshuverma@ord.gov.in,1
214,METAL CASTINGS,04:25.2,himanshuverma@ord.gov.in,1
218,NON FERROUS RAW MATERIALS,20:12.6,himanshuverma@ord.gov.in,1
222,PACKING BOXES FOR DEFENCE ITEMS,29:16.8,himanshuverma@ord.gov.in,1
225,CAMOUFLAGE EQUIPMENTS,40:07.7,himanshuverma@ord.gov.in,1
232,STEELS,17:00.5,amitkumarsarraf@ord.gov.in,1
236,WORKFORCE SUPPLY,32:09.5,amitkumar6@ord.gov.in,1
240,Investment Castings,35:49.0,amitkumarsarraf@ord.gov.in,1
245,PACKING BOXES,46:45.1,cio@indiaoptel.in,1
246,OIL HOUGHTO GRIND 260.,47:06.4,amitkumar6@ord.gov.in,1
252,HYDRAULIC AND ELECTRONICS PARTS,59:12.4,himanshuverma@ord.gov.in,1
274,Stationary items,37:02.8,amitkumar6@ord.gov.in,1
289,Steel Traders,54:26.6,ramkeshmeena@ord.gov.in,1
294,Graphite raw material and components,59:50.8,ramkeshmeena@ord.gov.in,1
304,WELDING ELECTRODES,14:22.4,himanshuverma@ord.gov.in,1
306,Coating on Components,14:49.4,ramkeshmeena@ord.gov.in,1
322,Tyre manufacturer,27:08.8,ramkeshmeena@ord.gov.in,1
325,TRANSPORATION OF DEFENCE GOODS,34:44.2,amitkumar6@ord.gov.in,1
331,Moulding Components,46:02.4,ramkeshmeena@ord.gov.in,1
348,X RAY OF FUZE COMPONENT,17:22.5,amitkumar6@ord.gov.in,1
367,CROSS LINK POLY FOAM & RUBBER PRODUCTS,02:31.8,raghunandanjha@ord.gov.in,1
368,FRP LAUNCHER TUBES,06:23.8,raghunandanjha@ord.gov.in,1
371,Manufacturer of Aluminum Products,46:09.7,raghunandanjha@ord.gov.in,1
372,Supplier of all kinds of Sheets,52:10.5,raghunandanjha@ord.gov.in,1
373,tools,59:45.6,raghunandanjha@ord.gov.in,1
375,CUTTING TOOLS,01:35.0,raghunandanjha@ord.gov.in,1
377,paints and chemicals,04:18.9,raghunandanjha@ord.gov.in,1
383,PAINTS,14:15.0,kajodmalsharma@ord.gov.in,1
385,ELECTRONICS COMPONENTS,15:26.9,cio@indiaoptel.in,1
387,LUBRICANTS CUTTING OIL,16:23.2,kajodmalsharma@ord.gov.in,1
388,REFRACTORY PRODUCTS,19:52.0,kajodmalsharma@ord.gov.in,1
393,Manufacturer of LED Lighting,25:12.1,raghunandanjha@ord.gov.in,1
394,Manufacturer,27:55.4,raghunandanjha@ord.gov.in,1
398,PLASTIC,32:31.2,raghunandanjha@ord.gov.in,1
399,Supplier of Steel Sheet components,35:19.9,raghunandanjha@ord.gov.in,1
404,"Supplier of all kinds of Sheets, Pipes",40:38.9,raghunandanjha@ord.gov.in,1
409,Supplier of all kinds of Aluminium alloy,42:54.7,raghunandanjha@ord.gov.in,1
410,welding cables & electrical items,44:50.3,kajodmalsharma@ord.gov.in,1
411,Manufacturer of Paints,45:03.1,raghunandanjha@ord.gov.in,1
418,Manufacturer of Rubber products,55:00.3,raghunandanjha@ord.gov.in,1
420,PPE for body protection,57:38.9,raghunandanjha@ord.gov.in,1
423,Electronic devices,00:25.8,kajodmalsharma@ord.gov.in,1
424,computer servers,01:46.3,raghunandanjha@ord.gov.in,1
428,OEM for tools equipments manufacturer,06:41.4,raghunandanjha@ord.gov.in,1
429,Thermocouple,07:02.1,kajodmalsharma@ord.gov.in,1
430,audio video products,09:18.4,raghunandanjha@ord.gov.in,1
433,Refractory Items,11:30.0,kajodmalsharma@ord.gov.in,1
434,Manufacturer of Welding electrodes,12:29.9,raghunandanjha@ord.gov.in,1
437,Manufacturer of Copper Alloy,15:14.6,raghunandanjha@ord.gov.in,1
440,standard parts in toolmaking engineering,18:03.8,raghunandanjha@ord.gov.in,1
442,Manufacturer of Aluminum alloy & alloy wire rods,21:20.9,raghunandanjha@ord.gov.in,1
443,Supplier of pipes,24:17.5,raghunandanjha@ord.gov.in,1
450,steel metal fabrication,17:08.5,raghunandanjha@ord.gov.in,1
451,Fire Fighting Equipment,20:26.9,raghunandanjha@ord.gov.in,1
452,All types of resin,24:33.2,raghunandanjha@ord.gov.in,1
453,Manufacturer of Ball and roller bearings,26:54.3,raghunandanjha@ord.gov.in,1
454,"Manufacturer of Engine, Transformer and Automotive oil",30:05.0,raghunandanjha@ord.gov.in,1
455,Manufacturers of Paints,34:52.1,raghunandanjha@ord.gov.in,1
456,Sealings,37:15.3,raghunandanjha@ord.gov.in,1
457,Machine Tools CNC Spares,40:42.5,raghunandanjha@ord.gov.in,1
458,shearing blades,45:00.6,raghunandanjha@ord.gov.in,1
459,Semi conductors devices and modules,48:15.5,raghunandanjha@ord.gov.in,1
461,Manufacturer of Industrial speciality chemicals,53:22.5,raghunandanjha@ord.gov.in,1
462,Industrial automation instrumentation,57:06.5,raghunandanjha@ord.gov.in,1
465,Manufacturer of Aerospace defence components,11:26.2,raghunandanjha@ord.gov.in,1
470,Supplier of steel  MS Pipe and sheet,18:10.2,raghunandanjha@ord.gov.in,1
471,Industrial automation and digitalization,20:28.4,raghunandanjha@ord.gov.in,1
473,Manufactuerer of Liquid and Powder Paint,23:20.3,raghunandanjha@ord.gov.in,1
478,Manufacturer of Steel Products,32:58.3,raghunandanjha@ord.gov.in,1
479,Manufacturer of All types of Lubricants,35:56.2,raghunandanjha@ord.gov.in,1
480,Cutting tools jigs fixtures gauges,38:34.7,raghunandanjha@ord.gov.in,1
485,SERVICES,52:51.4,cio@indiaoptel.in,1
487,Manufacturer of CNC Cutting  Machines,00:33.9,raghunandanjha@ord.gov.in,1
488,supplier of stationery,02:06.4,raghunandanjha@ord.gov.in,1
490,Manufacturer of electirc wire and cable,05:18.9,raghunandanjha@ord.gov.in,1
492,Manufacturer of Precision measuring Tools,10:06.0,raghunandanjha@ord.gov.in,1
493,PAINTS & CONSUMABLES,11:06.0,cio@indiaoptel.in,1
494,Trailer,13:05.0,mahesh.jadhav85@gov.in,0
495,IT AV Data Infrastructure,13:12.8,raghunandanjha@ord.gov.in,1
497,Supplier of Electrical item and automation,15:37.7,raghunandanjha@ord.gov.in,1
499,Manufacturer of Industrial and automotive lubricants,18:43.4,raghunandanjha@ord.gov.in,1
501,Industrial and speciality gases,25:46.1,raghunandanjha@ord.gov.in,1
504,"Defence products, reverse engineering, AR-VR labs for government",35:08.7,raghunandanjha@ord.gov.in,1
506,Cotton hand gloves,39:16.6,raghunandanjha@ord.gov.in,1
509,"Optical/RF cable assemblies, telecom networking, IT solutions,",43:13.3,raghunandanjha@ord.gov.in,1
512,https://www.elmack.co.in/,54:40.3,raghunandanjha@ord.gov.in,1
513,"Defence & telecom equipment, power transmission, solar, EPC, shelters, communications",59:30.7,raghunandanjha@ord.gov.in,1
524,PORTABLE ELECTRIC WELDING MACHINE,08:13.5,amitkumar6@ord.gov.in,1
552,GEARS,46:48.3,mkjain.ord@ord.gov.in,1
553,spall liner - bullet proof,56:49.8,mkjain.ord@ord.gov.in,1
557,TYRES,02:07.7,mkjain.ord@ord.gov.in,1
560,BALLISTIC GLASSES,12:02.8,mkjain.ord@ord.gov.in,1
561,LEAF SPRING FOR VEHICLES,21:21.1,mkjain.ord@ord.gov.in,1
568,VEHICLE COMPONENTS,47:23.6,mkjain.ord@ord.gov.in,1
572,Tubeless tyre Run Flat system for Bullet Proofing,01:17.7,mkjain.ord@ord.gov.in,1
576,"CABLE ASSY-W6 , DISPLAY",47:06.2,hvfprojects@ord.gov.in,1
577,"Assy. Spare Wheel,Lifting unit",28:11.1,mkjain.ord@ord.gov.in,1
578,MANUFACTURING OF WATER BOWSER AND MOUNTING ON CHASSIS,32:34.8,mkjain.ord@ord.gov.in,1
581,"HELIUM GAS   PURITY (VOL%) 99.996,",53:48.2,hvfprojects@ord.gov.in,1
586,MATERIALS,52:45.8,hvfprojects@ord.gov.in,1
595,GASES,29:37.2,hvfprojects@ord.gov.in,1
615,power steering,37:24.8,mkjain.ord@ord.gov.in,1
619,PVC PIPE,07:26.6,amitkumar6@ord.gov.in,1
641,ELECTRODES,29:11.1,hvfprojects@ord.gov.in,1
818,,08:06.1,dhinesh.a@bemlltd.in,0
819,,09:08.2,dhinesh.a@bemlltd.in,0
820,,10:09.1,dhinesh.a@bemlltd.in,0
821,,12:03.9,dhinesh.a@bemlltd.in,0
822,,15:36.0,dhinesh.a@bemlltd.in,0
823,,16:40.6,dhinesh.a@bemlltd.in,0
824,,17:30.9,dhinesh.a@bemlltd.in,0
825,,18:23.5,dhinesh.a@bemlltd.in,0
826,,19:18.8,dhinesh.a@bemlltd.in,0
827,WIRE ROPES,19:38.1,cqav-dgqa@nic.in,1
828,,20:08.7,dhinesh.a@bemlltd.in,0
829,,20:55.3,cqav-dgqa@nic.in,0
830,,21:10.1,dhinesh.a@bemlltd.in,0
831,,22:59.9,dhinesh.a@bemlltd.in,0
832,,26:35.4,dhinesh.a@bemlltd.in,0
833,,30:57.4,dhinesh.a@bemlltd.in,0
834,,40:19.6,cio@indiaoptel.in,0
835,,42:38.4,cio@indiaoptel.in,0
836,,55:11.3,dhinesh.a@bemlltd.in,0
837,,00:11.7,dhinesh.a@bemlltd.in,0
838,,12:24.7,saravanakumar.as@bemlltd.in,0
839,,13:22.5,saravanakumar.as@bemlltd.in,0
840,,14:15.8,saravanakumar.as@bemlltd.in,0
841,,15:08.7,saravanakumar.as@bemlltd.in,0
842,,16:22.4,saravanakumar.as@bemlltd.in,0
843,,17:26.5,saravanakumar.as@bemlltd.in,0
844,,18:20.9,saravanakumar.as@bemlltd.in,0
845,,20:11.9,saravanakumar.as@bemlltd.in,0
846,,21:18.1,saravanakumar.as@bemlltd.in,0
847,,22:08.1,santhosha.goni@bemlltd.in,0
848,,22:22.6,saravanakumar.as@bemlltd.in,0
849,,23:13.2,saravanakumar.as@bemlltd.in,0
850,,23:34.5,santhosha.goni@bemlltd.in,0
851,,24:00.9,saravanakumar.as@bemlltd.in,0
852,,24:51.2,saravanakumar.as@bemlltd.in,0
853,,25:44.4,saravanakumar.as@bemlltd.in,0
854,,26:41.5,saravanakumar.as@bemlltd.in,0
855,,27:30.1,saravanakumar.as@bemlltd.in,0
856,,28:20.2,saravanakumar.as@bemlltd.in,0
857,,29:12.6,saravanakumar.as@bemlltd.in,0
858,,30:17.1,saravanakumar.as@bemlltd.in,0
859,,30:31.6,santhosha.goni@bemlltd.in,0
860,,31:03.8,saravanakumar.as@bemlltd.in,0
861,,35:40.7,saravanakumar.as@bemlltd.in,0
862,,12:36.0,santhosha.goni@bemlltd.in,0
863,,21:48.1,santhosha.goni@bemlltd.in,0
864,,38:39.8,santhosha.goni@bemlltd.in,0
865,,47:53.3,santhosha.goni@bemlltd.in,0
866,,50:31.5,santhosha.goni@bemlltd.in,0
867,,04:28.7,cio@indiaoptel.in,0
868,,18:58.1,ankit_kumar@bel.co.in,0
869,,07:06.9,tank.ofmk@ord.gov.in,0
870,,51:54.7,tank.ofmk@ord.gov.in,0
871,,20:58.9,pvgokakkar@mazdock.com,0
872,,22:56.9,ofajmfcc@ord.gov.in,0
873,,44:13.0,ofajmfcc@ord.gov.in,0
874,,46:55.5,tank.ofmk@ord.gov.in,0
875,,47:07.2,ofajmfcc@ord.gov.in,0
876,,04:04.0,dhinesh.a@bemlltd.in,0
877,,34:54.8,sushant.kumar@bel.co.in,0
878,,35:00.6,pvgokakkar@mazdock.com,0
879,,42:32.1,tank.ofmk@ord.gov.in,0
880,,48:26.2,pvgokakkar@mazdock.com,0
881,,21:37.1,tank.ofmk@ord.gov.in,0
882,,27:00.1,tank.ofmk@ord.gov.in,0
883,,30:37.4,tank.ofmk@ord.gov.in,0
884,,37:47.7,pvgokakkar@mazdock.com,0
885,,41:11.9,pvgokakkar@mazdock.com,0
886,,46:00.6,tank.ofmk@ord.gov.in,0
887,,49:02.7,sushant.kumar@bel.co.in,0
888,,51:55.3,tank.ofmk@ord.gov.in,0
889,,17:29.1,sushant.kumar@bel.co.in,0
890,,17:38.1,sushant.kumar@bel.co.in,0
891,,26:08.6,sushant.kumar@bel.co.in,0
892,,26:17.3,sushant.kumar@bel.co.in,0
893,,33:58.0,sushant.kumar@bel.co.in,0
894,,34:12.8,sushant.kumar@bel.co.in,0
895,,34:38.0,sushant.kumar@bel.co.in,0
896,,46:42.1,pvgokakkar@mazdock.com,0
897,,57:25.7,pvgokakkar@mazdock.com,0
898,,03:04.6,sushant.kumar@bel.co.in,0
899,,06:50.5,ankit_kumar@bel.co.in,0
900,,07:20.7,sushant.kumar@bel.co.in,0
901,,45:06.0,sushant.kumar@bel.co.in,0
902,,49:16.3,sushant.kumar@bel.co.in,0
903,,55:12.8,sushant.kumar@bel.co.in,0
904,,59:45.0,sushant.kumar@bel.co.in,0
905,,09:31.6,tank.ofmk@ord.gov.in,0
906,,25:56.3,tank.ofmk@ord.gov.in,0
907,,52:49.0,tank.ofmk@ord.gov.in,0
908,,53:07.2,tank.ofmk@ord.gov.in,0
909,,54:32.7,sushant.kumar@bel.co.in,0
910,,55:31.7,tank.ofmk@ord.gov.in,0
911,,00:50.5,tank.ofmk@ord.gov.in,0
912,,06:02.9,sushant.kumar@bel.co.in,0
913,,19:13.2,pvgokakkar@mazdock.com,0
914,,22:23.8,sushant.kumar@bel.co.in,0
915,,27:01.3,sushant.kumar@bel.co.in,0
916,,32:52.8,sushant.kumar@bel.co.in,0
917,,36:50.7,sushant.kumar@bel.co.in,0
918,,01:44.0,santhosha.goni@bemlltd.in,0
919,,14:35.5,tank.ofmk@ord.gov.in,0
920,,21:54.7,sushant.kumar@bel.co.in,0
921,,49:46.4,sushant.kumar@bel.co.in,0
922,,54:31.0,sushant.kumar@bel.co.in,0
923,empolyement/man power services,05:31.3,sushant.kumar@bel.co.in,1
924,,07:33.5,sushant.kumar@bel.co.in,0
925,,14:09.6,sushant.kumar@bel.co.in,0
926,,21:02.1,sushant.kumar@bel.co.in,0
927,,36:33.7,sushant.kumar@bel.co.in,0
928,DEFENCE AUTOMOTIVE,53:12.0,cqav-dgqa@nic.in,1
929,,58:24.2,cqav-dgqa@nic.in,0
930,,20:02.0,cqav-dgqa@nic.in,0
931,,55:46.8,pushpa.lm@gov.in,0
932,,46:36.7,cqav-dgqa@nic.in,0
933,BUSHINGS AND BEARINGS,58:54.3,saravanakumar.as@bemlltd.in,1
934,,26:54.8,saravanakumar.as@bemlltd.in,0
935,ENGINE PISTON,30:03.1,saravanakumar.as@bemlltd.in,1
936,,30:50.5,saravanakumar.as@bemlltd.in,0
937,AUTOMOTIVE FASTENERS,33:15.5,saravanakumar.as@bemlltd.in,1
938,,34:19.6,saravanakumar.as@bemlltd.in,0
939,,37:46.9,saravanakumar.as@bemlltd.in,0
940,ENGINE GASKET,05:22.1,saravanakumar.as@bemlltd.in,1
941,,06:11.1,saravanakumar.as@bemlltd.in,0
942,PISTON RINGS,07:45.6,saravanakumar.as@bemlltd.in,1
943,,08:21.9,saravanakumar.as@bemlltd.in,0
944,,13:32.2,saravanakumar.as@bemlltd.in,0
945,,18:27.0,saravanakumar.as@bemlltd.in,0
946,,18:56.2,saravanakumar.as@bemlltd.in,0
947,,20:06.9,saravanakumar.as@bemlltd.in,0
948,ALUMINIUM CASTINGS,22:16.6,saravanakumar.as@bemlltd.in,1
949,,22:53.3,saravanakumar.as@bemlltd.in,0
950,,29:00.9,saravanakumar.as@bemlltd.in,0
951,,29:41.2,saravanakumar.as@bemlltd.in,0
952,ALUMINIUM INTERCOOLERS,32:23.8,saravanakumar.as@bemlltd.in,1
953,,32:46.3,saravanakumar.as@bemlltd.in,0
954,,33:08.0,saravanakumar.as@bemlltd.in,0
955,,37:07.6,saravanakumar.as@bemlltd.in,0
956,MANUFACTURER OF NON FERROUS MATERIAL,40:47.7,saravanakumar.as@bemlltd.in,1
957,,41:10.2,saravanakumar.as@bemlltd.in,0
958,AUTOMOTIVE ENGINE OIL PUMP AND WATER PUMP,44:21.9,saravanakumar.as@bemlltd.in,1
959,,44:31.3,saravanakumar.as@bemlltd.in,0
960,,44:40.1,saravanakumar.as@bemlltd.in,0
961,,45:01.4,saravanakumar.as@bemlltd.in,0
962,ENGINE PISTON RING,10:10.2,saravanakumar.as@bemlltd.in,1
963,,11:34.1,saravanakumar.as@bemlltd.in,0
964,AUTOMOTIVE ENGINE VALVES,17:21.2,saravanakumar.as@bemlltd.in,1
965,,17:42.7,saravanakumar.as@bemlltd.in,0
966,,22:18.4,saravanakumar.as@bemlltd.in,0
967,,37:32.7,saravanakumar.as@bemlltd.in,0
968,AUTOMOTIVE BALL BEARINGS AND ROLLER BEARINGS,39:33.9,saravanakumar.as@bemlltd.in,1
969,,46:06.7,saravanakumar.as@bemlltd.in,0
970,AUTOMOTIVE ENGINE OIL AND FUEL FILTERS,48:21.8,saravanakumar.as@bemlltd.in,1
971,,48:34.5,saravanakumar.as@bemlltd.in,0
972,,48:44.1,saravanakumar.as@bemlltd.in,0
973,ENGINE CAM FOLLWERS,51:26.5,saravanakumar.as@bemlltd.in,1
974,AUTOMOTIVE ENGINE CAM FOLLOWERS,51:48.7,saravanakumar.as@bemlltd.in,1
975,,52:35.3,saravanakumar.as@bemlltd.in,0
976,,54:52.7,ofajmfcc@ord.gov.in,0
977,ENGINE VALVE SPRINGS,56:23.4,saravanakumar.as@bemlltd.in,1
978,ENGINE FABRICATION ITEMS,03:24.1,saravanakumar.as@bemlltd.in,1
979,,05:29.2,saravanakumar.as@bemlltd.in,0
980,,06:11.8,saravanakumar.as@bemlltd.in,0
981,,06:15.1,cqav-dgqa@nic.in,0
982,,09:26.7,ofajmfcc@ord.gov.in,0
983,,21:50.4,saravanakumar.as@bemlltd.in,0
984,AUTOMOTIVE ENGINE OIL FILTERATION,23:35.8,saravanakumar.as@bemlltd.in,1
985,,24:24.6,saravanakumar.as@bemlltd.in,0
986,,24:44.0,saravanakumar.as@bemlltd.in,0
987,AUTOMOTIVE ENGINE ALUMINIUM CASTING PARTS,27:06.3,saravanakumar.as@bemlltd.in,1
988,,27:43.0,saravanakumar.as@bemlltd.in,0
989,,28:44.4,saravanakumar.as@bemlltd.in,0
990,ENGINE CYLINDER LINERS,30:44.9,saravanakumar.as@bemlltd.in,1
991,,31:32.4,saravanakumar.as@bemlltd.in,0
992,,32:56.0,saravanakumar.as@bemlltd.in,0
993,AUTOMOTIVE ENGINE MACHINED PARTS,35:28.1,saravanakumar.as@bemlltd.in,1
994,,36:00.9,saravanakumar.as@bemlltd.in,0
995,,37:14.8,saravanakumar.as@bemlltd.in,0
996,AUTOMOTIVE ENGINE FABRICATION ITEMS,39:58.4,saravanakumar.as@bemlltd.in,1
997,,40:28.2,saravanakumar.as@bemlltd.in,0
998,,40:56.8,saravanakumar.as@bemlltd.in,0
999,AUTOMOTIVE ENGINE CLUTCH BOOSTER,42:52.7,saravanakumar.as@bemlltd.in,1
1000,,43:04.7,saravanakumar.as@bemlltd.in,0
1001,,43:52.3,saravanakumar.as@bemlltd.in,0
1002,,46:10.4,saravanakumar.as@bemlltd.in,0
1003,NITRIDING AND TUFFTRIDING,52:28.8,saravanakumar.as@bemlltd.in,1
1004,,53:19.4,saravanakumar.as@bemlltd.in,0
1005,,53:32.3,saravanakumar.as@bemlltd.in,0
1006,,55:43.9,saravanakumar.as@bemlltd.in,0
1007,,56:14.8,saravanakumar.as@bemlltd.in,0
1008,ENGINE CASTING PARTS,06:36.5,saravanakumar.as@bemlltd.in,1
1009,TAPPET AND ROCKER ARM,25:04.8,saravanakumar.as@bemlltd.in,1
1010,,25:51.8,saravanakumar.as@bemlltd.in,0
1011,ENGINE RING GEAR,27:34.1,saravanakumar.as@bemlltd.in,1
1012,,28:15.4,saravanakumar.as@bemlltd.in,0
1013,ENGINE OIL GAUGE,30:24.0,saravanakumar.as@bemlltd.in,1
1014,,31:03.0,saravanakumar.as@bemlltd.in,0
1015,,10:32.0,saravanakumar.as@bemlltd.in,0
1016,,12:20.4,saravanakumar.as@bemlltd.in,0
1017,RUST PREVENTIVE COATINGS,14:41.9,saravanakumar.as@bemlltd.in,1
1018,,17:19.6,saravanakumar.as@bemlltd.in,0
1019,,33:51.8,dhinesh.a@bemlltd.in,0
1020,,36:45.6,dhinesh.a@bemlltd.in,0
1021,,45:38.8,dqawp@navy.gov.in,0
1022,,31:17.4,dhinesh.a@bemlltd.in,0
1023,,34:44.9,dhinesh.a@bemlltd.in,0
1024,,38:38.6,dhinesh.a@bemlltd.in,0
1025,,10:29.7,dhinesh.a@bemlltd.in,0
1026,,10:49.6,dhinesh.a@bemlltd.in,0
1027,,14:45.6,dhinesh.a@bemlltd.in,0
1028,,31:01.2,hsyadav1@ord.gov.in,0
1029,,31:24.7,hsyadav1@ord.gov.in,0
1030,,57:50.5,ramkeshmeena@ord.gov.in,0
1031,,22:44.0,ramkeshmeena@ord.gov.in,0
1032,,26:08.9,ramkeshmeena@ord.gov.in,0
1033,,34:32.1,ramkeshmeena@ord.gov.in,0
1034,,36:04.9,ramkeshmeena@ord.gov.in,0
1035,,41:33.5,ramkeshmeena@ord.gov.in,0
1036,,42:29.3,hsyadav1@ord.gov.in,0
1037,,53:02.6,ramkeshmeena@ord.gov.in,0
1038,,56:54.9,ramkeshmeena@ord.gov.in,0
1039,,00:54.3,ramkeshmeena@ord.gov.in,0
1040,,33:01.4,saravanakumar.as@bemlltd.in,0
1041,,38:13.9,sushant.kumar@bel.co.in,0
1042,,58:16.6,sushant.kumar@bel.co.in,0
1043,,59:14.4,sushant.kumar@bel.co.in,0
1044,,02:55.3,santhosha.goni@bemlltd.in,0
1045,,05:11.5,sushant.kumar@bel.co.in,0
1046,,10:21.3,hsyadav1@ord.gov.in,0
1047,,31:06.5,hsyadav1@ord.gov.in,0
1048,,37:45.3,sushant.kumar@bel.co.in,0
1049,,41:38.5,sushant.kumar@bel.co.in,0
1050,,45:10.6,sushant.kumar@bel.co.in,0
1051,,51:18.0,sushant.kumar@bel.co.in,0
1052,,53:37.5,sushant.kumar@bel.co.in,0
1053,,01:40.2,sushant.kumar@bel.co.in,0
1054,,05:06.3,ramkeshmeena@ord.gov.in,0
1055,,12:46.1,hsyadav1@ord.gov.in,0
1056,,16:46.1,ramkeshmeena@ord.gov.in,0
1057,,19:04.2,sushant.kumar@bel.co.in,0
1058,Cooling System,22:45.8,ramkeshmeena@ord.gov.in,1
