Id,CompanyName,LegalName,OrgType,Scale,Address,City,State,Country,Pincode,Lat,Lng,Website,Email,Phone,PAN,CIN,GST,DUNS,IndustryDomain,IndustrySubdomain,CoreExpertise
1513,SUNIJ PHARMA PRIVATE LIMITED,,,,"T1/B  NATIONAL PARKGULBAI TEKRA,AHMEDABAD,Gujarat,380015-India",,Gujarat,,380015,,,,,,,,,,,,
1514,CENTURION REMEDIES PRIVATE LIMITED,,,,"G / 5INDUSTRIAL ESTATE   GORWA,BARODA,Gujarat,390016-India",,Gujarat,,390016,,,,,,,,,,,,
1515,AATISH INDUSTRIES PRIVATE LIMITED,,,,"Post Office Bhor Camp   Behind CRPF Camp Chatha Mill, Jammu,JAMMU,Jammu,Jammu & Kashmir,181101-India",,Jammu & Kashmir,,181101,,,,,,,,,,,,
1516,KARNATAKA ANTIBIOTICS AND PHARMACEUTICALS LIMITED,,,,"ARKA The BusinessCenter, Plot No.37, Site No.34/4,   NTTF Main Road, Peenya Industrial Area,,2nd Phase,,Bangalore,Bangalore,Karnataka,560058-India",,Karnataka,,560058,,,,,,,,,,,,
1517,ONTOP PHARMACEUTICALS PRIVATE LIMITED,,,,"9-D, BOMMASANDRA INDL.AREA,HOSUR ROAD, BANGALORE,HOSUR ROAD, BANGALORE,Karnataka,562158-India",,Karnataka,,562158,,,,,,,,,,,,
1518,CONA CHEMICALS PRIVATE LIMITED,,,,"68, PRATHIBA INDUSTRIAL ESTATEKANAKAPURA ROAD,BANGALORE,Karnataka,560078-India",,Karnataka,,560078,,,,,,,,,,,,
1519,P.S.K PHARMA PRIVATE LIMITED,,,,"71 1/B 2/B MAHAJENHALLISHIMOGA ROAD   HARIHAR,HARIHAR,Karnataka,577601-India",,Karnataka,,577601,,,,,,,,,,,,
1520,HINDUSTAN ANTIBIOTICS LIMITED,,,,"MUMBAI PUNE ROADPIMPRY,PUNE,Maharashtra,411018-India",,Maharashtra,,411018,,,,,,,,,,,,
1521,ORGANON (INDIA) PRIVATE LIMITED,,,,"3012-3020, 3rd Floor, A-Wing,Oberoi Garden Estate,   Chandivali Farm Road, Andheri East,,Mumbai,Mumbai City,Maharashtra,400072-India",,Maharashtra,,400072,,,,,,,,,,,,
1522,MCGEAN INDIA CHEMICALS PRIVATE LIMITED,,,,"PLOT NO.24, PANVEL INDUSTRIAL ESTATE   NEW PANVEL,PANVEL,Raigarh,Maharashtra,410206-India",,Maharashtra,,410206,,,,,,,,,,,,
1523,SOLAR BIOTRONIC LABORATORIES PVT LTD,,,,"759/120,DECCAN GYMKHANA,PRABHAT ROAD,LANE NO.2,PUNE,Maharashtra,411004-India",,Maharashtra,,411004,,,,,,,,,,,,
1524,FRESENIUS KABI INDIA PRIVATE LIMITED,,,,"A-3 MIDC Ranjangaon Ganpati   Taluka Shirur, District Pune,Ranjangaon,Maharashtra,412220-India",,Maharashtra,,412220,,,,,,,,,,,,
1525,SUN CHEM PRODUCTS PRIVATE LIMITED,,,,"R.S NO.91/3, KILIYUR SOUTH,T.R. PATNAM,   KARAIKAL-609606.,KARAIKAL-609606.,Pondicherry,609606-India",,Pondicherry,,609606,,,,,,,,,,,,
1526,TABLETS (INDIA) LTD,,,," JHAVER CENTRE, R A BUILDING, IV FLOOR   OLD NO.19, NEW NO.72, MARSHALLS ROAD,CHENNAI,Chennai,Tamil Nadu,600008-India",,Tamil Nadu,,600008,,,,,,,,,,,,
1527,SISCO LATEX PRIVATE LIMITED,,,,"Module 29, II Floor,  Block II,SIDCO Electronics   Complex,Thiru. Vi.Ka Industrail Estate,Guindy Chennai,Chennai,Tamil Nadu,600032-India",,Tamil Nadu,,600032,,,,,,,,,,,,
1528,J.K. FENNER (INDIA) LIMITED,,,,"3, MADURAI-MELAKKAL ROAD,MADURAI,Tamil Nadu,625016-India",,Tamil Nadu,,625016,,,,,,,,,,,,
1529,EUCARE PHARMACEUTICALS P LTD,,,,"PLOTNOAC25B,SIIDCOINDUSTRIALESTATE,THIRUMUDIVAKKAM   CHENNAI- 44.,44.,Tamil Nadu,000000-India",,Tamil Nadu,,0,,,,,,,,,,,,
1530,NETPLAST PRIVATE LIMITED,,,,"2&4 UPTRON ESTATEPANKI   KANPUR,U P,Uttar Pradesh,000000-India",,Uttar Pradesh,,0,,,,,,,,,,,,
1531,BALLS AND CYLPEBS LTD,,,,"B-23 TO 30 & B 32 TO  B40 BIJAULI INDUSTRIAL AREA,   JHANSI,U P,Uttar Pradesh,284001-India",,Uttar Pradesh,,284001,,,,,,,,,,,,
1532,S.S CHEMICALS PRIVATE LIMITED,,,,"KHANDAK BAZARMEERUT   MEERUT,UTTAR PRADESH,Uttar Pradesh,000000-India",,Uttar Pradesh,,0,,,,,,,,,,,,
1533,JYOTI CAPSULES PRIVATE LIMITED,,,,"123/37SARESH BAGH   KANPUR,UTTAR PRADESH,Uttar Pradesh,208012-India",,Uttar Pradesh,,208012,,,,,,,,,,,,
1534,LUCKNOW ORGANICS PRIVATE LIMITED,,,,"8-BFAIZABAD ROAD   LUCKNOW,UTTAR PRADESH,Uttar Pradesh,226007-India",,Uttar Pradesh,,226007,,,,,,,,,,,,
1535,MOTILAL DULI CHAND PRIVATE LIMITED,,,,"20 INDUSTRIAL ESTATEKANPUR   KANPUR,UTTAR PRADESH,Uttar Pradesh,000000-India",,Uttar Pradesh,,0,,,,,9198230435,,,,,,,
1536,YACCA PHARMACEUTICALS PRIVATE LIMITED,,,,"220/1HIRAPUR SIYANA ROAD   BULANDSHAHR,UTTAR PRADESH,Uttar Pradesh,203001-India",,Uttar Pradesh,,203001,,,,,,,,,,,,
1537,KAMERO TECHNOSYS LIMITED,,,,"C-6, PANKI INDUSTRIAL AREA,,SITE-1,Dada Nagar,Kanpur Nagar,Uttar Pradesh,208022-India",,Uttar Pradesh,,208022,,,,,,,,,,,,
1538,OSTER CHEMICAL & PHARMACEUTICAL WORKS PVT LTD,,,,"124/4A, MANICKTOLA STREET,,KOLKATA,West Bengal,700006-India",,West Bengal,,700006,,,,,,,,,,,,
1539,THE ORIENTAL CHEMICAL WORKS PRIVATE LIMITED,,,,"1/1B, GOBINDA ADDY ROAD,KOLKATA,West Bengal,700027-India",,West Bengal,,700027,,,,,,,,,,,,
1540,PHARMA IMPEX LABORATORIES PVT LTD,,,,"1st Floor   10C, Middleton Row,Kolkata,Kolkata,West Bengal,700071-India",,West Bengal,,700071,,,,,,,,,,,,
1541,C.I.LABORATORIES (SHIBPORE) PRIVATE LIMITED,,,,"56/1 BIPLABI RASH BEHARI BASUROAD  2ND FLOOR,KOLKATA,West Bengal,700001-India",,West Bengal,,700001,,,,,,,,,,,,
1542,SCOTT EDIL PHARMACIA LIMITED,,,,"Plot No. 28/6   Industrial Area, Phase-2,Chandigarh,Chandigarh,Chandigarh,160002-India",,Chandigarh,,160002,,,,,,,,,,,,
1543,ARBRO PHARMACEUTICALS PRIVATE LIMITED,,,,"6/14,KIRTI NAGAR INDUSTRIALAREA,NEW DELHI,NA,Delhi,000000-India",,Delhi,,0,,,,,,,,,,,,
1544,GRACURE PHARMACEUTICALS LIMITED,,,,"251-254 IInd Floor, DLF Tower   15 Shivaji Marg,New Delhi,West Delhi,Delhi,110015-India",,Delhi,,110015,,,,,,,,,,,,
1545,M H MEDICUS PRIVATE LIMITED,,,,"160-161 PLOT NO 04VARDHMAN PLAZA J BLOCK   COMMERCIAL CENTRE RAJOURI GARD,NEW DELHI,Delhi,110027-India",,Delhi,,110027,,,,,,,,,,,,
1546,BLUE SKY SYSTEM PRIVATE LIMITED,,,,"A-53/2, AMRIT PURI,   EAST OF KAILASH,,NEW DELHI,New Delhi,Delhi,110065-India",,Delhi,,110065,,,,,,,,,,,,
1547,MICRO LABS LIMITED,,,,"31, RACE COURSE ROAD,Bengaluru,Bangalore,Karnataka,560001-India",,Karnataka,,560001,,,,,,,,,,,,
1548,BIPHA DRUG LABORATORIES PRIVATE LIMITED,,,,"XIII/804, Pallipurathukavu Junction,KOTTAYAM,Kerala,686039-India",,Kerala,,686039,,,,,,,,,,,,
1549,CYANO PHARMA PRIVATE LIMITED,,,,"6 Gr. Floor, Patnawala Compound,   Opp. Shreyas LBS Marg, Ghatkopar (W),Mumbai,Mumbai City,Maharashtra,400086-India",,Maharashtra,,400086,,,,,,,,,,,,
1550,SOVEREIGN PHARMA PRIVATE LIMITED,,,,"72-73, 7th Floor, Plot 215, Free Press House,,Free Press Journal Marg,Mumbai,Mumbai,Maharashtra,400021-India",,Maharashtra,,400021,,,,,,,,,,,,
1551,PURE PHARMA LIMITED,,,,"G-3, Shreenath Niketan,   29, Snehalataganj near Bhandari Bridge,Indore,Indore,Madhya Pradesh,452006-India",,Madhya Pradesh,,452006,,,,,,,,,,,,
1552,IVES DRUGS ( INDIA) PVT.LTD.,,,,"504 CHETAK CENTRE   12/2,,R.N.T.MARG,INDORE,Madhya Pradesh,452001-India",,Madhya Pradesh,,452001,,,,,,,,,,,,
1553,ORIENTAL CHEMICAL WORKS PRIVATE LIMITED,,,,"AKSHAT130,KANCHANBAG,,INDORE,Madhya Pradesh,452001-India",,Madhya Pradesh,,452001,,,,,,,,,,,,
1554,CHEMISCHE GLOBAL PRIVATE LIMITED,,,,"Office No.16 to 19, Sr. No.17/5AB, First Floor,   Vision Plus Building, Old Mumbai Pune Ro,ad,,Pune,Pune,Maharashtra,411044-India",,Maharashtra,,411044,,,,,,,,,,,,
1555,ISCON SURGICALS LIMITED,,,,"22/4,   HEAVY INDUSTRIAL AREA,,JODHPUR,Rajasthan,342001-India",,Rajasthan,,342001,,,,,,,,,,,,
1556,NEELKANTH HEALTH CARE PRIVATE LIMITED,,,,"A-281, RIICO INDUSTRIAL AREA,HOUSING COLONY   BORANADA,JODHPUR,Jodhpur,Rajasthan,342012-India",,Rajasthan,,342012,,,,,,,,,,,,
1557,STRANEX INDUSTRIES PRIVATE LIMITED,,,,"PLOT NO 54, GUNROCK ENCLAVE   PHASE-1, MUD FORT,,SECUNDERABAD,Hyderabad,Telangana,500009-India",,Telangana,,500009,,,,,,,,,,,,
1558,P.FLUORO COMPOUNDS PRIVATE LIMITED,,,,"16-2-742/E/E/2/l,Venkatadri Nagar, Malakpet, Asmangar,Saidabad,Hyderabad,Telangana,500036-India",,Telangana,,500036,,,,,,,,,,,,
1559,SAIMIRRA INNOPHARM PRIVATE LIMITED,,,,"288 & 299, SIDCO Estate   Ambattur,Chennai,Thiruvallur,Tamil Nadu,600098-India",,Tamil Nadu,,600098,,,,,,,,,,,,
1560,STANDARD PHARMACEUTICALS LTD,,,,"27 MIRZA GALIB STREET,KOLKATA,West Bengal,700016-India",,West Bengal,,700016,,,,,,,,,,,,
1561,ARTIST GOLD PAINTS PRIVATE LIMITED,,,,"D.No. 59-7-1/1A, Acharya Ranga Street,   Gayatri Nagar,,VIJAYAWADA,Srikakulam,Andhra Pradesh,520010-India",,Andhra Pradesh,,520010,,,,,,,,,,,,
1562,PRAVEK KALP PRIVATE LIMITED,,,,"SHOP NO - 2A   109, B. D. EST.,TIMARPUR,North Delhi,Delhi,110054-India",,Delhi,,110054,,,,,,,,,,,,
1563,GREENS SURGICALS PRIVATE LIMITED,,,,"1-C, LEFT SIDE, FIRST FLOOR   ARJUN NAGAR, SAFDARJUNG ENCLAVE,NEW DELHI,Delhi,110029-India",,Delhi,,110029,,,,,,,,,,,,
1564,KUBER ENTERPRISES PRIVATE LIMITED,,,,"C-1, 1106 VASANT KUNJ   NELSON MANDELA MARG,NEW DELHI,Delhi,110070-India",,Delhi,,110070,,,,,,,,,,,,
1565,FUJIFILM INDIA PRIVATE LIMITED,,,,"Business Centre Office No. 521, Level V, Caddie   Commc.Tower,Hospitality Dist. Aerocity I,GI Airport,NEW DELHI,South West Delhi,Delhi,110037-India",,Delhi,,110037,,,,,,,,,,,,
1566,ELLSWORTH ADHESIVES INDIA PRIVATE LIMITED,,,,"Unit No.1102, 11th Floor, Gopal Heights   Neta Ji Subhash Palace, Pitampura,New Delhi,North West,Delhi,110034-India",,Delhi,,110034,,,,,,,,,,,,
1567,WESTCOAST PHARMACEUTICAL WORKS LIMITED,,,,"F.P. No. 17 & 16/5 Meldi Estate, Nr. Gota Crossing   Chandlodia Gota Road, Gota,Ahmedabad,Gujarat,382481-India",,Gujarat,,382481,,,,,,,,,,,,
1568,TRANE TECHNOLOGIES INDIA PRIVATE LIMITED,,,,"8th Floor, Tower D, IBC Knowledge Park,   No. 4/1, Bannerghatta Main Road,,Bangalore,Bangalore,Karnataka,560029-India",,Karnataka,,560029,,,,,,,,,,,,
1569,AZOOKA LABS PRIVATE LIMITED,,,,"No.534, Ground Floor   Krishnappa Layout, 8th Block, Koramangal,a,Bangalore,Bangalore,Karnataka,560095-India",,Karnataka,,560095,,,,,,,,,,,,
1570,JAMES WALKER INMARCO INDUSTRIES PRIVATE LIMITED,,,,"104, Gayatri Commercial Complex, Behind Mittal   Industrial Estate, Andheri-Kurla Rd, And,heri(East),Mumbai,Maharashtra,400059-India",,Maharashtra,,400059,,,,,,,,,,,,
1571,ZERO - D INDUSTRIES PRIVATE LIMITED,,,,"VEIBHAVE NAGAR   LATUR,LATUR,Latur,Maharashtra,413512-India",,Maharashtra,,413512,,,,,,,,,,,,
1572,BIOERA LIFE SCIENCES PRIVATE LIMITED,,,,"4,SOLENO,S.NO.12/2/2,OPP.BALEWADISTADIUM,BANERMAHALUNGERD,TALUKAMULSHI,,PUNE,Maharashtra,411007-India",,Maharashtra,,411007,,,,,,,,,,,,
1573,AAP PHARMA TECHNOLOGIES INDIA PRIVATE LIMITED,,,,"Sy. No. 553/U, Genome Valley   Kolthur Road, Shameerpet Mandal,HYDERABAD,Rangareddi,Telangana,500078-India",,Telangana,,500078,,,,,,,,,,,,
1574,3AK CHEMIE PRIVATE LIMITED,,,,"Survey No. 5/5B/1, Automotive Park,   Kallakal (V), Toopran (M),,Hyderabad,Medak,Telangana,502336-India",,Telangana,,502336,,,,,,,,,,,,
1575,OPTRIX LABORATORIES PRIVATE LIMITED,,,,"PLOT NO 6P, SY NO 37A & 37P,   SIGNATURE TOWERS, 2ND FLOOR, KOTHAGUDA,,KONDAPUR,HYDERABAD,Hyderabad,Telangana,500084-India",,Telangana,,500084,,,,,,,,,,,,
1576,MED C PHARMA PRIVATE LIMITED,,,,"1st Floor of Plot No?x80x99s:95 & 96   ALEAP Industrial Estate, Gajularamaram,   ,Hyderabad,Hyderabad,Telangana,500072-India",,Telangana,,500072,,,,,,,,,,,,
1577,SRI SHYAM ADDITIVES PRIVATE LIMITED,,,,"Survey No. 61, Thimmapur, Thimmapur Village,   Thimmapur, Kothur,,Mahbubnagar,Hyderabad,Telangana,509228-India",,Telangana,,509228,,,,,,,,,,,,
1578,GREEN CHEM SOLUTIONS PRIVATE LIMITED,,,,"NO. 32/7, WELCOME COLONY,   ANNA NAGAR WEST EXTN.,,CHENNAI,Tamil Nadu,600101-India",,Tamil Nadu,,600101,,,,,,,,,,,,
1579,MAXLIVE PHARMACEUTICALS PRIVATE LIMITED,,,,"SHOP NO. II-7/6 GROUND FLOOR,   BLOCK-7, SECTOR-2, RAJENDRA NAGAR,SAHIBABAD,Ghaziabad,Uttar Pradesh,201005-India",,Uttar Pradesh,,201005,,,,,,,,,,,,
1580,GREEN WORLD PRIVATE LIMITED,,,,"72 CANNING STREET  3RD FLOOR,KOLKATA,West Bengal,700001-India",,West Bengal,,700001,,,,,,,,,,,,
1581,JAYA HOUSEHOLD PRODUCTS PRIVATE LIMITED,,,,"14/1B EZRA ST,KOLKATA,West Bengal,700001-India",,West Bengal,,700001,,,,,,,,,,,,
1582,OCEAN MARINE ENVIRONMENT COATINGS PRIVATE LIMITED,,,,"265, CHOTA FINGA, NIMTA,,P.O. & P.S.- NIMTA, KOLKATA,North 24 Paraganas,North 24 Parganas,West Bengal,700049-India",,West Bengal,,700049,,,,,,,,,,,,
1583,QFOCUS ENGINEERING INDIA PRIVATE LIMITED,,,,"NO: 30, L.N.NAGAR,   KALAPATTI ROAD,,COIMBATORE,Coimbatore,Tamil Nadu,641048-India",,Tamil Nadu,,641048,,,,,,,,,,,,
1584,STADMED PVT LTD,,,,"84 CHOWRINGHEE ROAD,KOLKATA,West Bengal,700020-India",,West Bengal,,700020,,,,,,,,,,,,
1585,ARBUDA PLASTOCHEM PRIVATE LIMITED,,,,"SURVEY NO. 191, PAIKI-2 / PAIKI-1,   KARANNAGAR, TALUKA - KADI,,KARANNAGAR,Gujarat,382715-India",,Gujarat,,382715,,,,,,,,,,,,
1586,G SURGIWEAR LIMITED,,,,"VILLEGE RASOOLPURJEHANGANJ   SHAHJAHANPUR,UTTAR PRADESH,Uttar Pradesh,000000-India",,Uttar Pradesh,,0,,,,,,,,,,,,
1587,MARTINA SURGICALS PVT LTD,,,,"78, KALITALA ROAD,   2ND FLOOR, KALIKAPUR,KOLKATA,West Bengal,700078-India",,West Bengal,,700078,,,,,,,,,,,,
1588,PATANJALI AYURVED LIMITED,,,,"3rd Floor, Plot No. 231,,Sector 9, Dwarka,New Delhi,South West Delhi,Delhi,110077-India",,Delhi,,110077,,,,,,,,,,,,
1589,NEON ANTIBIOTICS PRIVATE LIMITED,,,,"R 291, 2ND FLOOR   GREATER KAILASH PART-I,NEW DELHI,Delhi,110048-India",,Delhi,,110048,,,,,,,,,,,,
1590,AVENUES PHARMA DISTRIBUTORS PRIVATE LIMITED,,,,"No 260/1/36/2C, PATTANAGERE,   GLOBAL VILLAGE ROAD, BESIDE METRO CASH &, CARRY,BANGALORE,Bangalore,Karnataka,560059-India",,Karnataka,,560059,,,,,,,,,,,,
1591,POLYPHARM PRIVATE LIMITED,,,,"CALCOT HOUSE 1,   SHETTY MARG, TAMARIND LANE,MUMBAI,Maharashtra,400001-India",,Maharashtra,,400001,,,,,,,,,,,,
1592,ADROIT PHARMACEUTICALS PRIVATE LIMITED,,,,"Flat No. 1003, Eternity A Wing,Raheja Reflections   Thakur Village Road,  Kandivali (East),,Mumbai,Mumbai City,Maharashtra,400101-India",,Maharashtra,,400101,,,,,,,,,,,,
1593,CONCEPT PHARMACEUTICALS LIMITED,,,,"801-B, HUBTOWN SOLARIS, N.S. PHADKE MARG,   OFF. TELI GALLI, NEAR ANDHERI FLYOVER, A,NDHERI (E),MUMBAI,Mumbai City,Maharashtra,400069-India",,Maharashtra,,400069,,,,,,,,,,,,
1594,GROUP PHARMACEUTICALS LIMITED,,,,"W-46 (B) M I D CTARAPUR INDUSTRIAL AREA,THANE,Maharashtra,401506-India",,Maharashtra,,401506,,,,,,,,,,,,
1595,MIDAS CARE PHARMACEUTICALS PVT LTD,,,,"LOTUS CORPORATE PARK, B WING , 3RD FLOOR,   GRAHAM FIRTH COMP., NEAR W E HIGHWAY, GO,REGAON(E),MUMBAI,Mumbai City,Maharashtra,400063-India",,Maharashtra,,400063,,,,,,,,,,,,
1596,AGAPPE DIAGNOSTICS LIMITED,,,,"Office Nos 401-402, Jaisingh Business Centre,   Sahar Road, Andheri (East),Mumbai,Mumbai City,Maharashtra,400099-India",,Maharashtra,,400099,,,,,,,,,,,,
1597,SIRMAXO CHEMICALS PVT LTD,,,,"5 Flr Satyanarayan Prasad Commercial Cntr Dayaldas   Rd, Behind SBI Nehru Rd Branch Vile Parl,e East,Mumbai,Maharashtra,400057-India",,Maharashtra,,400057,,,,,,,,,,,,
1598,BHAGAT FORGE PRIVATE LIMITED,,,,"265-L   MODEL TOWN,LUDHIANA,Ludhiana,Punjab,141002-India",,Punjab,,141002,,,,,,,,,,,,
1599,HYDERABAD METAL CRAFTS PRIVATE LIMITED,,,,"PLOT NO 9/P & 10, ROAD NO. 2, HARDWARE PARK   KANCHA IMARAT, PAHADI SHAREEF POST,HYDERABAD,Telangana,500005-India",,Telangana,,500005,,,,,,,,,,,,
1600,BASR FINE CHEMICALS PRIVATE LIMITED,,,,"D-122, PHASE-III,I.D.A. JEEDIMETLA,   HYDERABAD.,ANDHRA PRADESH,Telangana,000000-India",,Telangana,,0,,,,,,,,,,,,
1601,MSN LABORATORIES PRIVATE LIMITED,,,,"MSN HOUSE, PLOT NO. C 24,   SANATH NAGAR INDUSTRIAL ESTATE, SANATH N,AGAR,HYDERABAD,Telangana,500018-India",,Telangana,,500018,,,,,,,,,,,,
1602,OPTIMUS DRUGS PRIVATE LIMITED,,,,"7th Floor, Maximus Towers, 2A,,Raheja Mindspace IT Park, Hitec City,,Shaikpet,Hyderabad,Telangana,500081-India",,Telangana,,500081,,,,,,,,,,,,
1603,LUCID LABORATORIES PRIVATE LIMITED,,,,"PLOT NO.3 IDA,   BALANAGAR,HYDERABAD,Hyderabad,Telangana,500037-India",,Telangana,,500037,,,,,,,,,,,,
1604,VULCAN LABORATORIES PVT LTD,,,,"14/1  RAM MOHAN DUTT RD,KOLKATA,West Bengal,700020-India",,West Bengal,,700020,,,,,,,,,,,,
1605,SCHEVARAN LABORATORIES PRIVATE LIMITED,,,,"#427-B,   HEBBAL INDUSTRIAL AREA,MYSORE,Karnataka,570016-India",,Karnataka,,570016,,,,,,,,,,,,
1606,DELTAMIKE SPECIALITY PRODUCTS PRIVATE LIMITED,,,,"A/503, RIZVI PALACE,   HILL ROAD, BANDRA (W),,MUMBAI,Maharashtra,400050-India",,Maharashtra,,400050,,,,,,,,,,,,
1607,PIONEER INDUSTRIES PRIVATE LIMITED,,,,"  Plot No. A3-A4, Industrial Growth Cent   Defence Road, VPO Ranipur,Pathankot,Punjab,145024-India",,Punjab,,145024,,,,,,,,,,,,
1608,SOUTHERN PLANTAIDS PVT. LTD.,,,,"B-15, PHASE-II, T.I.E,BALANAGAR,Tirumalagiri,Hyderabad,Telangana,500037-India",,Telangana,,500037,,,,,,,,,,,,
1609,RCMPA POLISHING TECHNOLOGIES PRIVATE LIMITED,,,,"B-15, MIDC AREA,BADLAPUR,Maharashtra,421501-India",,Maharashtra,,421501,,,,,,,,,,,,
1610,SARU SMELTING PRIVATE LIMITED,,,,"SARU NAGAR   SARDHANA ROAD,MEERUT,Uttar Pradesh,250002-India",,Uttar Pradesh,,250002,,,http://www.sarumetals.com,,9897838358,,,,,,,
1611,PRIME DISIN CHEM PRIVATE LIMITED,,,,"88/2 LASUDIA MORI   DEWAS NAKA, A B ROAD,INDORE,Madhya Pradesh,452001-India",,Madhya Pradesh,,452001,,,,,,,,,,,,
1612,RAMNATH LABORATORIES LIMITED,,,,"VANGOAHAR ORCHHATIKAMGARH,M.P.,Madhya Pradesh,000000-India",,Madhya Pradesh,,0,,,,,,,,,,,,
1613,SHREE COSMETICS LIMITED,,,,"1-20-248, UMAJAY COMPLEX, RASOOLPURA,SECUNDERABAD,Hyderabad,Telangana,500003-India",,Telangana,,500003,,,,,,,,,,,,
1614,CAVINKARE PRIVATE LIMITED,,,,"No.12, Poonthamallee Road   Ekkatuthangal,Chennai,Chennai,Tamil Nadu,600032-India",,Tamil Nadu,,600032,,,,,,,,,,,,
1615,CHETTINAD MORIMURA SEMICONDUCTOR MATERIAL PRIVATE LIMITED,,,,"NO 37, OLD MAHABALIPURAM ROAD, KAZHIPATTUR   VILLAGE, PADUR POST, CHENGALPATTU DISTRI,CT,CHENNAI,Kancheepuram,Tamil Nadu,603103-India",,Tamil Nadu,,603103,,,,,,,,,,,,
1616,SWASTIK OIL PRODUCTS MANUFACTURING NAVSARI PRIVATE LIMITED,,,,"1601/02 16TH FLOOR,ELECTRA PLANET,   GODREJ 30 KESHAVRAO KHADYE MARG, MAHALAX,MI,Mumbai,Mumbai City,Maharashtra,400011-India",,Maharashtra,,400011,,,,,,,,,,,,
1617,ENSIGNS HEALTH CARE PRIVATE LIMITED,,,,"FLAT NO. 402, 4TH FLOOR 10 ORCHID,   S NO. 17/6 NEW ERA BAKERY LANE, BALEWADI,,,PUNE,Pune,Maharashtra,411045-India",,Maharashtra,,411045,,,,,,,,,,,,
1618,WONDER CHEMICALS AND COATINGS LIMITED,,,,"A-2/493, Sector-8,   Rohini,New Delhi,North West,Delhi,110085-India",,Delhi,,110085,,,,,,,,,,,,
1619,MEHTA COSMETICS PRIVATE LIMITED,,,,"PLOT NO. 112, GROUND FLOOR, PKT L,   SECTOR 2, BAWANA, DSIDC,DELHI,North West,Delhi,110039-India",,Delhi,,110039,,,,,9811330506,,,,,,,
1620,TANGENT SCIENCE PRIVATE LIMITED,,,,"Plot No. 623, Phase-IV,   G.I.D.C, Vatva,,Ahmedabad,Ahmedabad,Gujarat,382445-India",,Gujarat,,382445,,,,,,,,,,,,
1621,RIVIKA BIO INDUSTRIES PRIVATE LIMITED,,,,"986-3-D, SHANKARVIJAY JIN,   B/H RUSHIKESH APT, JALALPORE ROAD,,NAVSARI,Navsari,Gujarat,396445-India",,Gujarat,,396445,,,,,,,,,,,,
1622,MCGEAN ROHCO CHEMICALS INDIA PRIVATE LIMITED,,,,"POST BOX NO. 2501 AKOTA PADRA ROAD   AKOTA DINESH MILL ROAD AKOTA,VADODARA,Vadodara,Gujarat,390020-India",,Gujarat,,390020,,,,,,,,,,,,
1623,QUICK TURN CONSULTANCY SOLUTIONS PRIVATE LIMITED,,,,"No. 373, 7th Cross, 2nd Main,   Penn Field Gardens, Telecom Layout, Srir,ampura,Bangalore,Bangalore,Karnataka,560064-India",,Karnataka,,560064,,,,,,,,,,,,
1624,SYNECTICS BIOSCIENCE PRIVATE LIMITED,,,,"FLAT NO. B-2101/2102, MANSAROVAR   NEELKANTH HEIGHTS, POKHRAN ROAD NO. 2,THANE (WEST),Thane,Maharashtra,400610-India",,Maharashtra,,400610,,,,,,,,,,,,
1625,RF NANOCOMPOSITES PRIVATE LIMITED,,,,"H No. 108-K, Mohalla Bheriyagarh   Vishnupuram, Post Basharatpur,,Gorakhpur,Gorakhpur,Uttar Pradesh,273004-India",,Uttar Pradesh,,273004,,,,,,,,,,,,
1626,SSIL PAINT INDUSTRIES PRIVATE LIMITED,,,,"SHYAM TOWER,03-319, DH6/11,,PREMISES NO. 319, ACTION AREA-ID,New Town,North 24 Parganas,West Bengal,700156-India",,West Bengal,,700156,,,,,,,,,,,,
1627,ASHOK MATCHES AND TIMBER INDUSTRIES PRIVATE LIMITED,,,,"BOOPATHY BUILDING,17-A, VIRUDHUNAGAR ROAD,   17-A, VIRUDHUNAGAR ROAD,,SIVAKASI - 626 123.,Tamil Nadu,626123-India",,Tamil Nadu,,626123,,,,,,,,,,,,
1628,SBL ENERGY LIMITED,,,,"G-04, GROUND FLOOR, WALLFORT OZONE,FAFADIH CHOWK,Raipur,Raipur,Chattisgarh,492001-India",,Chattisgarh,,492001,,,,,,,,,,,,
1629,SOLAR DEFENCE AND AEROSPACE LIMITED,,,," 11 ZADE LAYOUT BHARAT,,NAGPUR,Maharashtra,440033-India",,Maharashtra,,440033,,,,,,,,,,,,
1630,SHAN ARMS INDUSTRIES PRIVATE LIMITED,,,,"SHAN GUN HOUSE   PHALKA BAZAR LASHKAR,GWALIOR,Gwalior,Madhya Pradesh,474001-India",,Madhya Pradesh,,474001,,,,,,,,,,,,
1631,IDEAL DETONATORS PRIVATE LIMITED,,,,"2nd Floor, Ideal Towers,   Opp: BHEL Enclave, Sy. No.115, Akbar Roa,d, Tadbund,Secunderabad,Telangana,500009-India",,Telangana,,500009,,,,,,,,,,,,
1632,REGENESIS INDUSTRIES PRIVATE LIMITED,,,,"PLOT NO-29/B, P&T COLONY, TRIMULGHERRY,,SECUNDERABAD,Hyderabad,Telangana,500015-India",,Telangana,,500015,,,,,,,,,,,,
1633,STANDARD FIRE WORKS PRIVATE LIMITED,,,,"1/3,Thiruthangal Road,,Sivakasi,Tamil Nadu,626123-India",,Tamil Nadu,,626123,,,,,,,,,,,,
